t_iso,phase,calib,flip,stuck,mission_done,done_reason,lat,lon,dist_m,goal_deg,head_deg,err_deg,cmd_v,cmd_turn,nsat,hdop,red_ratio
2026-03-06T18:47:03,GPS,1,1,0,0,RUNNING,,,,,115.225853,,0.000000,0.000000,0,99.990000,
2026-03-06T18:47:13,GPS,1,1,0,0,RUNNING,,,,,113.416394,,0.000000,0.000000,0,99.990000,
2026-03-06T18:47:23,GPS,1,1,0,0,RUNNING,,,,,128.860030,,0.000000,0.000000,0,99.990000,
2026-03-06T18:47:33,GPS,1,1,0,0,RUNNING,,,,,116.495979,,0.000000,0.000000,0,99.990000,
2026-03-06T18:47:43,GPS,1,1,0,0,RUNNING,,,,,153.301427,,0.000000,0.000000,0,99.990000,
2026-03-06T18:47:53,GPS,1,1,0,0,RUNNING,,,,,151.651590,,0.000000,0.000000,0,99.990000,
2026-03-06T18:48:03,GPS,1,1,0,0,RUNNING,,,,,135.797305,,0.000000,0.000000,0,99.990000,
2026-03-06T18:48:13,GPS,1,1,0,0,RUNNING,,,,,136.327216,,0.000000,0.000000,0,99.990000,
2026-03-06T18:48:23,GPS,1,1,0,0,RUNNING,,,,,137.849131,,0.000000,0.000000,0,99.990000,
2026-03-06T18:48:33,GPS,1,1,0,0,RUNNING,,,,,137.962825,,0.000000,0.000000,0,99.990000,
2026-03-06T18:48:43,GPS,1,1,0,0,RUNNING,,,,,135.484178,,0.000000,0.000000,0,99.990000,
2026-03-06T18:48:54,GPS,1,1,0,0,RUNNING,,,,,149.332088,,0.000000,0.000000,0,99.990000,
2026-03-06T18:49:04,GPS,1,1,0,0,RUNNING,,,,,179.121009,,0.000000,0.000000,0,99.990000,
2026-03-06T18:49:14,GPS,1,1,0,0,RUNNING,,,,,267.100644,,0.000000,0.000000,0,99.990000,
2026-03-06T18:49:24,GPS,1,0,0,0,RUNNING,,,,,230.979676,,0.000000,0.000000,0,99.990000,
2026-03-06T18:49:34,GPS,1,0,0,0,RUNNING,,,,,240.293316,,0.000000,0.000000,2,21.330000,
2026-03-06T18:49:44,GPS,1,0,0,0,RUNNING,,,,,231.217321,,0.000000,0.000000,2,21.000000,
2026-03-06T18:49:54,GPS,1,0,0,0,RUNNING,,,,,202.396181,,0.000000,0.000000,3,70.220000,
2026-03-06T18:50:02,DONE,1,0,0,1,KEYBOARD_INTERRUPT,,,,,94.831861,,0.000000,0.000000,0,0.000000,
